ride_id,id,truename,lat,lon,park,single_rider,lightning_lane,individual_lightning_lane
74,2679,Frozen Ever After,28.3707485872513,-81.5465831359336,EPCOT,No,No,Yes
75,466,Gran Fiesta Tour,28.3717154944856,-81.5474924007324,EPCOT,No,No,No
76,134,Jungle Cruise,28.4180280368415,-81.5833951279588,MK,No,Yes,No
77,137,Pirates of the Caribbean,28.4180175060948,-81.5842221112728,MK,No,Yes,No
78,141,The Magic Carpets of Aladdin,28.4184664053249,-81.5834629537785,MK,No,Yes,No
79,132,Dumbo the Flying Elephant,28.4204845044006,-81.5789461407898,MK,No,Yes,No
80,133,its a small world,28.4205064384762,-81.5819128096357,MK,No,Yes,No
81,135,Mad Tea Party,28.4199291737685,-81.5797195008256,MK,No,Yes,No
82,136,Peter Pans Flight,28.4203395227064,-81.5818556885624,MK,No,Yes,No
83,161,Prince Charming Regal Carrousel,28.420219602475,-81.5811720782853,MK,No,No,No
84,129,Seven Dwarfs Mine Train,28.4206652188643,-81.5796689773674,MK,No,No,Yes
85,126,The Barnstormer,28.4208586767431,-81.5785463343173,MK,No,Yes,No
86,142,The Many Adventures of Winnie the Pooh,28.4201619731134,-81.5804535702603,MK,No,Yes,No
87,127,Journey of the Little Mermaid,28.4210359691984,-81.5799684754013,MK,No,Yes,No
88,130,Big Thunder Mountain Railroad,28.4203301876552,-81.5845895827848,MK,No,Yes,No
89,139,Splash Mountain,28.4192558144389,-81.5846479384622,MK,No,Yes,No
90,140,Haunted Mansion,28.4201677450385,-81.5828267468737,MK,No,Yes,No
92,248,Astro Orbiter,28.418429561785,-81.579132837039,MK,No,No,No
93,131,Buzz Lightyear Space Ranger Spin,28.4182269713255,-81.5794575720058,MK,No,Yes,No
94,138,Space Mountain,28.4190428861473,-81.5775007453611,MK,No,No,Yes
95,143,Tomorrowland Speedway,28.4194400896759,-81.5793454985482,MK,No,Yes,No
96,1190,Tomorrowland Transit Authority Peoplemover,28.4182486179164,-81.5790483099322,MK,No,No,No
97,457,Carousel of Progress,28.4180340096715,-81.5790722326983,MK,No,No,No
